id,author,page,text,rate,reply_to,created_at,updated_at,user_id,category,published
210,ستاره احمدي,sepehran,من هفته بعد با اين سفر پرواز دارم و نگرانم لطفا نظر بديد,,,2018-08-21 12:57:24.970512,2018-08-21 12:57:24.970512,245692,1,t
211,آرمین تیموری ,mahan,فقط و فقط هواپیمای بویینگ 747,5,,2018-08-22 07:28:08.765486,2018-08-22 07:28:08.765486,241394,1,t
213,"",zagros,خیلی خوب بود. هم هواپیماش راحت بود و هم مهماندارها خیلی خوش اخلاق و خوش برخورد بودند. ,4,,2018-08-23 05:58:25.927331,2018-08-23 05:58:25.927331,247329,1,t
214,ساناز محمدی,hipotrip,من تا حالا نشنیده بودم اسمشو، ولی یه سفر رفتم خیلی پشتیبانی خوبی داشت.من خریدم به مشکل خورد برام درستش کردن نسبتا از بقیه جاها هم پایین تر بود,5,,2018-08-23 06:59:20.435101,2018-08-23 06:59:20.435101,247370,2,t
215,علی,hipotrip,خیلی عالی بود عالی عالی,5,,2018-08-23 08:02:54.312904,2018-08-23 08:02:54.312904,247428,2,t
216,"",mahan,"",5,,2018-08-24 07:36:37.790352,2018-08-24 07:36:37.790352,248334,1,t
217,"",mahan,به نظر من بهترین هواپیمای ماهان ایر بویینگ 747 میباشد,5,,2018-08-24 10:31:21.408269,2018-08-24 10:31:21.408269,246599,1,t
218,آرمین تیموری ,mahan,من با هواپیمای بویینگ 747 پرواز داشتم و پنج ستاره را  به ماهان ایر میدهم,5,,2018-08-24 10:34:00.880584,2018-08-24 10:34:00.880584,246599,1,t
219,"",hipotrip,"",,,2018-08-24 17:34:52.852231,2018-08-24 17:34:52.852231,249424,2,t
220,ارسلان عبدپور,hipotrip,"",,,2018-08-24 17:35:25.330723,2018-08-24 17:35:25.330723,249424,2,t
221,ارسلان عبدپور,hipotrip,"",,,2018-08-24 17:35:30.331602,2018-08-24 17:35:30.331602,249424,2,t
222,حسن,hipotrip,عالي بود,5,,2018-08-25 16:18:04.786195,2018-08-25 16:18:04.786195,251903,2,t
223,"",mahan,سفر بسیار خوبی بود,,,2018-08-25 20:36:47.320364,2018-08-25 20:36:47.320364,251757,1,t
224,امیر,mahan,سفر بسیار خوبی بود,4,,2018-08-25 20:37:41.119425,2018-08-25 20:37:41.119425,251757,1,t
